Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 31.89      2.58     2.58 504674605     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equals_val<int const>::operator()<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
 20.27      4.22     1.64 503165145     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++()
 16.63      5.57     1.34 504937261     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const
 14.83      6.76     1.20  2034772     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__find_if<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const> >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const>, std::random_access_iterator_tag)
  1.98      6.92     0.16 33620109     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equals_val<int const>::operator()<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  1.79      7.07     0.14 33554445     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  1.55      7.20     0.12      514     0.24     0.24  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  1.30      7.30     0.10 33882765     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.87      7.37     0.07  3814024     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.87      7.44     0.07     6113     0.01     0.01  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.74      7.50     0.06  3814024     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&)
  0.74      7.56     0.06  2034772     0.00     0.00  Graph::Graph::hasEdge(int, int) const
  0.74      7.62     0.06   131328     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__find_if<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const> >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const>, std::random_access_iterator_tag)
  0.62      7.67     0.05  6895363     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) const
  0.49      7.71     0.04  2297941     0.00     0.00  bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.43      7.75     0.04  9987782     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.37      7.78     0.03  6765068     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.37      7.80     0.03  3814024     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.37      7.83     0.03  2034772     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__find_if<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const> >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equals_val<int const>)
  0.25      7.86     0.02  3814024     0.00     0.00  unsigned int std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int)
  0.25      7.88     0.02  2034772     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::find<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int const&)
  0.25      7.89     0.02   525827     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.25      7.92     0.02   131328     0.00     0.00  Graph::Graph::addEdge(int, int)
  0.19      7.93     0.01   131328     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator-(long) const
  0.19      7.95     0.01        2     7.50     7.50  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::deallocate(std::vector<int, std::allocator<int> >*, unsigned long)
  0.12      7.96     0.01  7628048     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.12      7.96     0.01  4334256     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.12      7.97     0.01  2431751     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.12      7.99     0.01  2166100     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const>::_Iter_equals_val(int const&)
  0.12      8.00     0.01  2034772     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.12      8.01     0.01   526853     0.00     0.00  operator new(unsigned long, void*)
  0.12      8.02     0.01   525827     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.12      8.03     0.01   394498     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.12      8.04     0.01   263683     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.12      8.04     0.01   131328     0.00     0.00  std::vector<int, std::allocator<int> >::erase(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.12      8.05     0.01   131328     0.00     0.00  std::vector<int, std::allocator<int> >::pop_back()
  0.12      8.06     0.01   131328     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::find<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.12      8.07     0.01        1    10.00    15.73  Graph::Graph::printGraph() const
  0.12      8.09     0.01                             main
  0.06      8.09     0.01        1     5.00     5.00  __gnu_cxx::new_allocator<bool>::new_allocator()
  0.00      8.09     0.00  3814024     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      8.09     0.00  2299484     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      8.09     0.00  2166100     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const> __gnu_cxx::__ops::__iter_equals_val<int const>(int const&)
  0.00      8.09     0.00  2036827     0.00     0.00  Graph::Graph::numOfVertices() const
  0.00      8.09     0.00  1431920     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      8.09     0.00  1388938     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      8.09     0.00  1313282     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      8.09     0.00  1057832     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      8.09     0.00   810619     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      8.09     0.00   596024     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      8.09     0.00   394498     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      8.09     0.00   393985     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      8.09     0.00   393780     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(long) const
  0.00      8.09     0.00   267806     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      8.09     0.00   263687     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      8.09     0.00   263686     0.00     0.00  bool __gnu_cxx::operator==<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00      8.09     0.00   263686     0.00     0.00  std::vector<int, std::allocator<int> >::empty() const
  0.00      8.09     0.00   263683     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      8.09     0.00   263683     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      8.09     0.00   263683     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      8.09     0.00   263682     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      8.09     0.00   263682     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      8.09     0.00   263682     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      8.09     0.00   263682     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      8.09     0.00   263682     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      8.09     0.00   263174     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      8.09     0.00   263172     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      8.09     0.00   263172     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      8.09     0.00   263170     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      8.09     0.00   263169     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      8.09     0.00   262659     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      8.09     0.00   262658     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      8.09     0.00   262657     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  0.00      8.09     0.00   262657     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  0.00      8.09     0.00   262657     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  0.00      8.09     0.00   262656     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      8.09     0.00   262656     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
